x0000,y0000
577.747375,5407.
577.837524,5554.
577.927734,5438.
578.017822,5436.
578.108032,5520.
578.19812,5433.
578.28833,5522.
578.378479,5322.
578.468628,5346.
578.558655,5365.
578.648804,5377.
578.738892,5413.
578.829041,5478.
578.919128,5411.
579.009216,5458.
579.099243,5466.
579.189392,5535.
579.279419,5538.
579.369446,5509.
579.459473,5507.
579.549561,5569.
579.639587,5511.
579.729614,5453.
579.819641,5519.
579.909668,5664.
579.999695,5684.
580.089661,5583.
580.179688,5707.
580.269714,5765.
580.35968,6076.
580.449646,6138.
580.539612,6347.
580.629517,6287.
580.719543,6313.
580.809448,6430.
580.899353,6418.
580.989319,6541.
581.079285,6920.
581.169189,7114.
581.259033,7364.
581.348938,7402.
581.438904,6946.
581.528748,6729.
581.618591,6366.
581.708496,6133.
581.798401,6036.
581.888245,5944.
581.978027,5930.
582.067871,5816.
582.157776,5829.
582.247559,5779.
582.337402,5663.
582.427246,5790.
582.517029,5757.
582.606812,5660.
582.696655,5588.
582.786377,5673.
582.876221,5693.
582.966003,5642.
583.055725,5643.
583.145447,5645.
583.235168,5523.
583.325012,5729.
583.414673,5651.
583.504395,5581.
583.594116,5434.
583.683899,5542.
583.773621,5491.
583.86322,5481.
583.952942,5476.
584.042664,5450.
584.132324,5446.
584.221985,5360.
584.311646,5523.
584.401306,5420.
584.490967,5481.
584.580566,5371.
584.670166,5402.
584.759888,5535.
584.849487,5471.
584.939087,5342.
585.028625,5392.
585.118225,5393.
585.207825,5380.
585.297424,5396.
585.386963,5383.
585.476562,5466.
585.566162,5396.
585.655701,5330.
585.745178,5352.
585.834717,5477.
585.924316,5396.
586.013794,5342.
586.103271,5417.
586.192749,5379.
586.282349,5214.
586.371765,5426.
586.461304,5305.
586.55072,5335.
586.640198,5431.
586.729675,5211.
586.819092,5289.
586.908569,5269.
586.998047,5298.
587.087463,5364.
587.17688,5300.
587.266235,5354.
587.355713,5285.
587.445068,5234.
587.534485,5350.
587.623779,5298.
587.713257,5262.
587.802612,5093.
587.891907,5275.
587.981323,5233.
588.070679,5177.
588.160034,5180.
588.249329,5139.
588.338623,5098.
588.427917,5087.
588.517334,5196.
588.606567,5200.
588.695862,5197.
588.785156,5246.
588.874451,5247.
588.963745,5234.
589.052917,5221.
589.142151,5147.
589.231445,5067.
589.32074,5052.
589.409912,5174.
589.499146,5073.
589.588379,5121.
589.677551,5180.
589.766724,5271.
589.855957,5149.
589.94519,5217.
590.034302,5160.
590.123535,5218.
590.212646,5122.
590.301819,5197.
590.390991,5218.
590.480103,5099.
590.569214,5013.
590.658386,5125.
590.747498,5080.
590.836548,5136.
590.925659,5088.
591.014771,5035.
591.103821,5026.
591.192932,5069.
591.281921,5203.
591.371033,5185.
591.460083,5165.
591.549194,5164.
591.638184,5181.
591.727173,5097.
591.816223,5191.
591.905212,5138.
591.994202,5088.
592.083191,5092.
592.172241,5148.
592.26123,5146.
592.350159,5040.
592.439148,5172.
592.528137,5179.
592.617065,5191.
592.705994,5181.
592.794983,5238.
592.883911,5248.
592.972839,5131.
593.061707,5205.
593.150574,5183.
593.239563,5075.
593.32843,5070.
593.417297,5153.
593.506104,5047.
593.594971,5099.
593.683899,5042.
593.772705,5073.
593.861572,5125.
593.950378,5154.
594.039246,5033.
594.127991,5261.
594.216858,5206.
594.305603,5023.
594.39447,5068.
594.483215,5120.
594.57196,5126.
594.660706,5014.
594.749573,5032.
594.838318,5027.
594.927002,4951.
595.015747,4968.
595.104492,4923.
595.193176,5001.
595.281921,4937.
595.370605,5014.
595.459351,5042.
595.548035,5128.
595.636658,5083.
595.725342,5075.
595.814087,5054.
595.902649,5091.
595.991333,5045.
596.079956,5020.
596.168518,5048.
596.257263,4902.
596.345825,4939.
596.434387,4963.
596.523071,4945.
596.611633,4959.
596.700195,4988.
596.788757,4963.
596.877319,5039.
596.965942,5068.
597.054504,5039.
597.142944,5098.
597.231506,4950.
597.320129,5027.
597.408569,5015.
597.497131,4948.
597.585571,5075.
597.674072,5008.
597.762573,4958.
597.851074,4983.
597.939514,4999.
598.028015,5015.
598.116455,5009.
598.204834,5061.
598.293274,5017.
598.381775,5029.
598.470215,5054.
598.558533,5094.
598.646973,5035.
598.735352,5019.
598.82373,4973.
598.91217,4984.
599.000488,4931.
599.088867,4941.
599.177246,4969.
599.265564,4927.
599.353882,4831.
599.4422,4864.
599.530579,4871.
599.618835,4951.
599.707153,5060.
599.795471,5059.
599.883789,4930.
599.971985,5012.
600.060303,5002.
600.14856,4993.
600.236816,4893.
600.325073,4899.
600.413269,4766.
600.501465,4906.
600.589783,4860.
600.677979,4813.
600.766174,4831.
600.854309,4880.
600.942566,4759.
601.030762,4824.
601.118896,4857.
601.207031,4754.
601.295166,4903.
601.383362,4847.
601.471497,4941.
601.55957,4933.
601.647766,4791.
601.73584,4818.
601.823975,4737.
601.912048,4827.
602.000122,4835.
602.088196,4791.
602.176331,4787.
602.264343,4776.
602.352417,4793.
602.44043,4792.
602.528442,4798.
602.616516,4756.
602.704529,4894.
602.792542,4832.
602.880554,4844.
602.968567,4779.
603.056519,4865.
603.14447,4824.
603.232483,4847.
603.320435,4759.
603.408325,4745.
603.496338,4685.
603.584229,4791.
603.67218,4782.
603.760071,4741.
603.847961,4710.
603.935913,4852.
604.023804,4833.
604.111633,4819.
604.199585,4789.
